department,submit_t,style,title,content,situation,limit_t,reply_t,reply_c
公安分局,2015-05-13 12:26:04,咨询,领取换好的身份证一定要本人去才能领吗？（微信）,领取换好的身份证一定要本人去才能领吗？13######19@qq.com,"请公安分局在规定时限并反馈2015-05-1317:12:15送委办局办理给区政府,区公安分局。2015-05-1416:47:07返回拟办人给区政府,区政务信息中心。",2015-05-18,2015-05-14 17:27:18,您好，本人领取需携带领取凭证，旧身份证原件；如需代领，由同户直系亲属本人携带户口本原件、领取凭证、领取人旧身份证原件、代领人的身份证原件、委托书。不明之处请咨询5302922。
民政局、公安分局,2015-04-10 00:00:00,咨询,请问户籍在厦门市人才服务中心如何办理婚姻状况变更,本人户籍在厦门市人才服务中心，请问应该到何处办理户籍婚姻状况变更？变更以后多久能够取得更新信息以后的户籍证明？谢谢！,"请区民政局、公安分局在规定时限内处理并反馈2015-04-1016:31:32送委办局办理给区政府,民政局区政府,公安分局。2015-04-1316:31:58任务内路由给区政府,民政局。2015-04-1511:22:40返回拟办人给区政府,区政务信息中心。",2015-04-15,2015-04-15 01:00:00,您好，请持户口页、身份证、结婚证原件复印件到思明分局办证大厅申请变更，变更后即可。咨询电话5302922。谢谢！
筼筜街道,2015-04-11 00:00:00,感谢,深有所感，表扬员当街道仙阁里社区的负责计生工作的小吴,以往到政府基层组织办事，虽没门难进脸难看，但态度冷淡话语生硬是难免的，办个事总是一肚子气；此次到员当街道仙阁里社区，找负责计生工作的小吴办事，小吴态度诚恳，工作热情，虽然我对有些规定并不理解，但小吴的工作态度让人感觉很温馨。社区虽不是政府单位，但在百姓心中，它就是代表着政府，政府基层工作难做，除了群众对相关工作不理解外，政府工作人员也许该在自身的工作作风上找下原因，如果基层多些象小吴这样热爱本职工作、能热情待人的工作人员就好了。另：再婚后已重新办理了“准生证”，该证过期作废后，现重新再办新证，有无必要需再次提供那么多历史资料，特别是要再次提供原离婚协议之类的资料---办理前证时已经提供过了啊，因为旧证过期再办新证，还需要提供那么久远的资料--如没那资料，旧证是怎么办出的？且，已经是计算机管理了，有些资料，部门间也该共享了吧。惠民、便民，应先从换位思考开始，不然，口号喊再多也没意义。上述问题是对政府办理有关事项提出的疑问，虽然不理解，但对小吴的工作表示理解和支持，并对她热情待人表示感谢。特借贵网站予以表扬。,"请筼筜街道在规定时限内处理并反馈2015-04-1310:22:06送委办局办理给区政府,员当街道。2015-04-1416:25:29返回拟办人给区政府,政务信息中心。",2015-04-27,2015-04-14 01:00:00,您好，根据您陈述的情况，经与仙阁社区了解，您只需提供户口本、结婚证、身份证、2寸免冠照片及过期的生育服务证到社区办理即可。
公安分局,2015-04-13 01:00:00,咨询,父母投靠成年子女落户,母亲59岁，福建建瓯籍。女儿是独生子女，2015年刚迁入厦门思明区的住所，请问可以投靠落户吗，需要什么材料？,"请公安分局在规定时限内处理并反馈2015-04-1318:02:45送委办局办理给区政府,公安分局。2015-04-1511:24:25返回拟办人给区政府,区政务信息中心。",2015-04-17,2015-04-15 01:00:00,您好，不行，除了你必须是独生子女且在厦拥有《厦门市土地房屋权证》（房屋用途为住宅，所有权份额所占比例不得低于50%）的条件外，还需你登记为本市户籍人口时间及父母结婚登记时间均满五周年才可。
卫生计生局,2015-04-14 01:00:00,咨询,独生子女父母60岁以上补贴,你好，请问厦门独生子女父母年龄60岁以上，是不是可以领政府补贴？有没有规定父母户口在厦门要几年以上的，还是说只要户口都在厦门的就可以申请？谢谢！还有就是，如果父母只有一方超过60岁，那超过的那个也可以申请吗？,"请区卫生计生局在规定时限内处理并反馈2015-04-1415:41:19送委办局办理给区政府,卫生计生局。2015-04-1517:05:09返回拟办人给区政府,区政务信息中心。",2015-04-24,2015-04-15 01:00:00,"您好，根据福建省卫生计生委福建省财政厅关于印发《福建省部分计划生育家庭奖励扶助制度实施细则》的通知规定：符合条件的申请人应向向户籍所在地乡(镇)人民政府(街道办事处)提出申请。扶助对象户口在省内迁移,扶助金在迁出当年仍由原户籍地发放;次年起,按迁入地标准发放。执行国家政策户口从外省迁入且符合奖励扶助条件的,列入奖励扶助对象;其他原因户口从外省迁入且符合奖励扶助条件的,居住满五年后列入。若一方满足扶助条件一方申请。"
公安分局,2015-04-14 01:00:00,咨询,户口落户,您好，我户口迁移，通过了审核并拿到了业务受理的回执单，单上要求40日内办理落户。现父母都还老家有事情，无法按规定时间内办理落户，请问能否延期，或是由子女代办落户手续。如果能延期，延期多久，谢谢！,"请公安分局在规定时限内处理并反馈2015-04-1412:32:32送委办局办理给区政府,公安分局。2015-04-1511:23:29返回拟办人给区政府,区政务信息中心。",2015-04-17,2015-04-15 01:00:00,您好，不可以子女代替办理，因为要本人亲自采取指纹信息办理二代身份证。可以延期，年内一定要来办理。
工商局,2015-04-15 01:00:00,咨询,关于注册个人独资企业的若干咨询问题,你好，我想咨询几个问题1：个人独资企业的字号是否受法律保护？2：个人独资企业能否申请商标注册？3：个人独资企业在网上申请名称预核（在查重过程中并没有出现其他相关企业注册过）为什么不能批准？工作人员的审批意见是：“个人独资企业，无需做网上名称审批，直接到莲前工商所前台办理。”那么如果到前台办理还以网上预核申请的该名称作为企业字号注册是否可行并批准通过？,请区工商局在规定时限内处理并反馈,2015-04-20,2015-04-17 16:57:14,您好，根据《企业名称管理规定》和《中华人民共和国登记管理条例》等相关规定：经核准登记注册后的个人独资企业的字号受法律保护，也可以申请商标注册；个人独资企业可直接到前台办理名称预核准。经后期工作人员与咨询者电子邮件联系后，针对所咨询的商事主体与经营场所等问题，也在邮件中给予了回复。根据《公司法》、《物权法》等法规，商事主体可凭住所先办理营业执照，若要进行经营场所备案则需符合有关规定。工商登记手续的提交材料清单、文书材料、示范文本等，您可登陆厦门市商事主体登记及信用信息公示平台（http://www.xiamencredit.gov.cn/）进行查询并下载，或者也可到工商咨询窗口具体咨询
工商局,2015-04-15 01:00:00,咨询,关于注册到设立个人独资企业的收费问题咨询,你好，请问开始预先核准企业字号到注册设立企业批准需要收取哪些费用？,"请区工商局在规定时限内处理并反馈2015-04-1516:10:22送委办局办理给区政府,区工商局。2015-04-1716:18:32返回拟办人给区政府,区政务信息中心。",2015-04-21,2015-04-17 01:00:00,您好，工商部门办理商事主体设立登记不收取任何费用。
公安分局,2015-04-19 01:00:00,咨询,户口迁移,你好本人出生于集美区，后来工作后户口迁入第一医院集体户，结婚后又迁到集美，现在在湖滨东里有一个40平小房，请问我现在还能把户口迁入这个小房吗？小孩子能一起迁吗？谢谢,"请公安分局在规定时限内处理并反馈2015-04-2009:52:23送委办局办理给区政府,区公安分局。2015-05-0609:14:28返回拟办人给区政府,区政务信息中心。",2015-04-24,2015-05-06 09:43:20,您好，您咨询的事项属于市政服务中心业务，请市政服务中心户籍窗口，请咨询2034304
公安分局,2015-04-20 01:00:00,咨询,离婚分户,您好，我想了解一下，我是厦门本地户口当时是买房入的户口，但房子不是我的，结婚后迁到男方，也是本地户口，现在离婚，有一套使用权的房子，想户口还挂那男方那个村，西林居委会，是否可以呢？要准备什么材料，留的53###22电话一直打不进去。,"请公安分局在规定时限内处理并反馈2015-04-2018:16:05送委办局办理给区政府,区公安分局。2015-04-2311:08:29返回拟办人给区政府,区政务信息中心。",2015-04-24,2015-04-23 01:00:00,您好，思明公安分局工作人员已经电话回复，谢谢！
公安分局,2015-04-20 01:00:00,咨询,户口迁移咨询,我户口是思明区的，婚后想迁移只我老婆那里，在湖里去，请问下需要满足什么条件才可以迁移？,"请思明分局在规定时限内处理并反馈2015-04-2016:35:16送委办局办理给区政府,区公安分局。2015-05-0609:15:01返回拟办人给区政府,区政务信息中心。",2015-04-24,2015-05-06 09:42:53,您好，您是移入至湖里区，请咨询湖里区户口所在地的派出所。
工商局,2015-04-21 01:00:00,咨询,外来户口可以办理个体户营业执照吗,外来户口可以办理个体户营业执照吗，需要什么材料,"请区工商局在规定时限内处理并反馈2015-04-2210:46:40送委办局办理给区政府,区工商局。2015-04-2418:37:06返回拟办人给区政府,区政务信息中心。",2015-04-28,2015-04-27 01:00:00,您好，办理内资商事主体营业执照目前尚无有关户口方面的限制。办理港澳台个体户营业执照请至思明区工商局企业服务大厅，办理内地居民个体户营业执照请至注册地所在工商所。工商登记手续的提交材料清单、文书材料、示范文本等，您可登陆厦门市商事主体登记及信用信息公示平台（http://www.xiamencredit.gov.cn/）进行查询并下载，或者也可到工商咨询窗口具体咨询。
公安分局,2015-04-27 01:00:00,咨询,新生儿入户咨询,你好：父母都是厦门思明区集体户口，新生儿入户条件中有一项为单位开具同意入户证明，可是单位不肯开具如何处理？同时单位是否有权利不开具此证明？,"请公安分局在规定时限内处理并反馈2015-04-2718:10:14送委办局办理给区政府,区公安分局。2015-04-2918:34:43返回拟办人给区政府,区政务信息中心。",2015-05-01,2015-04-30 09:35:42,您好，根据《厦门户籍管理工作规范》，必须到单位开具同意落户证明，如果单位不愿意开，那么小孩就不能落户在该集体户。
公安分局,2015-04-28 01:00:00,咨询,82岁老人省内户口转入,82岁老人省内户口转入（父母投靠子女）梧村街道文屏巷，是否需要本人亲自去思明公安分局办理手续？因为老人中风，行动不便。办理顺序是：先到思明公安分局，再到梧村派出所，对吗？注：已办妥准迁证。,"请公安分局在规定时限内处理并反馈2015-04-2811:18:26送委办局办理给区政府,区公安分局。2015-04-2918:33:49返回拟办人给区政府,区政务信息中心。",2015-05-06,2015-04-30 09:36:44,您好，不用到梧村派出所，请老人带准迁材料及老家、厦门的户口本、本人身份证到思明公安分局办理。
公安分局,2015-04-28 10:42:14,咨询,人才集体户新生儿落后问题,你好，我们夫妻俩户口都在厦门市人才集体户，高林期房又未交房。现小孩即将出生，想咨询下：一，新生儿能否先落户到市人才集体户，如何办理手续？二，从贵网站上看到需要提供“市人才交流中心出具的同意申报户口证明信”那么这个证明信在哪里办理？需要提供什么资料去办理？请给予指导，谢谢！,"请公安分局在规定时限内处理并反馈2015-04-2811:20:19送委办局办理给区政府,区公安分局。2015-04-2918:33:27返回拟办人给区政府,区政务信息中心。",2015-05-08,2015-04-30 09:34:39,您好，人才中心不再办理小孩出生申报落户。你们夫妻两人或一人可以找一个家庭户挂户或社区公共户挂靠，前提是必须到市政服务中心房管局窗口开具你们二人的无房证明及到人才中心开具户口迁出证明信，再带户口本、身份证前来思明分局服务办证中心办理户口挂靠手续，办好后，才可办理小孩出生申报落户。不明之处请咨询5302922
财政局,2015-04-28 15:41:45,咨询,会计证的调入,想问下现在会计调入去哪里办理，该带什么材料，是不是得先去转出再来厦门办理，还是说得现在厦门备案再去转出呢？,"请财政局在规定时限内处理并反馈2015-04-2815:55:47送委办局办理给区政府,财政局,综合科。2015-04-2816:53:19返回拟办人给区政府,区政务信息中心。",2015-05-07,2015-04-28 17:35:09,办理会计从业资格证调转，请先向发证机关所在地的会计从业资格管理部门申办点申请调出，调出手续批准后，再办理调入申请。思明区办理调入申请的受理点在“厦门市禾祥东路168号思明区行政服务中心一楼，咨询电话：5896773。”外地会计从业资格证调入需提供：会计从业资格证书调转登记表原件一份，有效身份证原件及复印件一份，会计从业资格证书原件，继续教育合格证明，厦门接收单位出具的从事会计工作证明原件一份（或工作证明原件一份，或厦门本地户籍、居住证明、暂住证原件及复印件一份），若代办还需提供书面委托书一份、代理人有效身份证原件及复印件一份。
卫生计生局,2015-04-28 15:53:17,咨询,一孩子生育服务证，准生证需要材料,一孩子生育服务证材料⒈夫妻双方身份证、结婚证原件及复印件；⒉夫妻近期免冠两寸合影照片一张(证件照)；这个证和准生证是啥关系，准生证要哪些材料，我的户口是厦门市思明区的，老婆户口是福建泉州,"请区卫生计生局在规定时限内处理并反馈2015-04-2815:57:38送委办局办理给区政府,区卫生计生局。2015-04-2816:45:48返回拟办人给区政府,区政务信息中心。",2015-05-07,2015-04-28 17:35:21,您好，一孩生育服务证也就是俗称的准生证，双方户籍本省，提供您所述材料前往任意一方户籍所在地居委会即可申请办理。
公安分局,2015-03-24 00:00:00,咨询,购房落户户口迁移,在厦门思明区买了首套一手房174平方，带三个户口，因开发商产权证还在办理中，今年9月家里小孩已到读小学年龄，我一家户口全在厦门同安区，是否可以以购房合同及开发商开据的门牌证明等文件，提前办理户口迁移手续，还是得等产权办理完整才可办理相关手续？,"请公安分局在规定时限内处理并反馈2015-03-2415:45:58送委办局办理给区政府,公安分局。2015-03-2608:41:17返回拟办人给区政府,政务信息中心。",2015-03-27,2015-03-26 00:00:00,您好，请您前往市政服务中心咨询。谢谢您的关注！
工商局,2015-03-26 00:00:00,咨询,餐饮服务许可证年检,我公司的餐饮服务许可证到期时间为3月份，请问需要每年年检吗，年检材料有哪些,"请区工商局在规定时限内处理并反馈2015-03-2614:49:18送委办局办理给区政府,区工商局。2015-03-3009:56:44返回拟办人给区政府,政务信息中心。2015-03-3010:37:02送委办局办理给区政府,卫生局。2015-04-0109:08:28送相关人员办理给区政府,卫生局,卫生监督所。2015-04-0208:50:05收回给区政府,卫生局。2015-04-0208:51:21返回拟办人给区政府,政务信息中心。",2015-03-30,2015-04-02 00:00:00,您好，《餐饮服务许可证》无须每年年审，根据《餐饮服务许可管理办法》（卫生部令第70号）第十九条的规定，餐饮服务提供者需要延续《餐饮服务许可证》的，应当在《餐饮服务许可证》有效期届满30日前向原发证部门书面提出延续申请。逾期提出延续申请的，按照新申请《餐饮服务许可证》办理。谢谢！
教育局,2015-03-26 00:00:00,咨询,上公立幼儿园,我先生与孩子的户口一起挂靠在厦门的亲戚家，孩子到了上学的年龄可以报名公立幼儿园吗，如果不符合政策，那么我现在租住地的户主的孩子已经上大学了，没有适龄的幼儿需要上幼儿园，我们的孩子可以用这个名额吗？或者居住地所在的幼儿园未招满我们可以上吗？如何才能知道有没有招满呢？谢谢！盼回复！,"请区教育局在规定时限内处理并反馈2015-03-2616:43:25送委办局办理给区政府,教育局,办公室。2015-03-2716:49:59返回拟办人给区政府,政务信息中心。",2015-03-31,2015-03-27 00:00:00,您好，根据《思明区2014年秋季幼儿园招生工作意见的通知》，公办幼儿园的招生对象要符合户口所在地、实际居住地“两一致”的原则，您的户口挂在思明区集体户，属于挂户，您的孩子不属于公办幼儿园的招生对象。
公安分局,2015-03-27 00:00:00,咨询,落户咨询,你好，急事需要咨询关于落户的。我是外省的，前段时间已经拿到厦门的准迁证明，现在我老家那边派出所已经同意我把户口迁走。现在需要我本人过去厦门办理落户吗？可不可以委托别人帮我办理？邮*：71#####49@qq.com电话号码：18#######65,"请公安分局在规定时限内处理并反馈2015-03-2716:24:39送委办局办理给区政府,公安分局。2015-03-3009:00:01返回拟办人给区政府,政务信息中心。",2015-03-31,2015-03-30 00:00:00,您好，办理落户必须本人到场。
民政局,2015-03-27 00:00:00,咨询,未婚证明,我的户口与2005年大学毕业由北京签到厦门人才中心，买房时需要的未婚证明是在这里开具吗？,"请区民政局在规定时限内处理并反馈2015-03-3008:51:39送委办局办理给区政府,民政局。2015-03-3108:28:06返回拟办人给区政府,政务信息中心。",2015-04-01,2015-03-31 00:00:00,您好，根据您陈述的情况，办理无婚姻登记记录证明的前提是目前是单身的状态且户口在本辖区范围内，无婚史的由本人携带自己的身份证、户口页二者的原件及复印件到所辖区民政局婚姻登记处办理，离婚或丧偶未再婚的还需带上离婚证或丧偶证明。
公安分局,2015-03-27 00:00:00,咨询,分户,因为结婚原因，我跟老公想把户口单独拆出来（现在挂在公公的户口本那里）。家里目前只有一套安置房，老公的哥哥已经单独将户口转到安置房。我们要拆户口的话，地址可以也选安置房吗（因为目前是大家都住在那套房里）？如果不行的话，我们分户地址要写哪里？,"请公安分局在规定时限内处理并反馈2015-03-2714:43:27送委办局办理给区政府,公安分局。2015-03-3008:58:16返回拟办人给区政府,政务信息中心。",2015-03-31,2015-03-30 00:00:00,您好，公安分局回复：根据厦门户籍管理工作规范，权属关系明确的自建住房才可以分户。详询电话5302922。
公安分局,2015-03-30 00:00:00,咨询,出生落户,"父亲一方为厦门思明集体户,母亲为漳州诏安家庭户,小孩子2015年1月份出生,请问是否可以落户到厦门,需要什么材料?","请公安分局在规定时限内处理并反馈2015-03-3015:57:52送委办局办理给区政府,公安分局。2015-03-3117:05:03返回拟办人给区政府,政务信息中心。",2015-04-01,2015-03-31 00:00:00,您好，可以，需提交材料：1.《出生申报登记表》；2.《出生医学证明》；3.父母双方的《居民户口簿》和《居民身份证》（其中一方是军人的，军人一方应提供军人工作证件和《居民身份证》）、《结婚证》；4.单位同意落户证明（落户单位集体户需提供）。咨询电话5302922。
公安分局,2015-03-31 00:00:00,咨询,离婚个人户口及小孩落户,您好，我和老公于去年9月份离婚，这两天要去办理我个人户口落社区集体户，有个女儿现在三周岁，婚后归我女方抚养，因为之前公公因为我女儿是女孩子，所以不同意女儿落户厦门，一直拖到现在还没有落户，所以想问下，那小孩子可以跟我一直落户集体户么？需要什么材料,"请思明公安分局在规定时限内处理并反馈2015-03-3111:08:49送委办局办理给区政府,公安分局。2015-03-3117:05:44返回拟办人给区政府,政务信息中心。",2015-04-03,2015-03-31 00:00:00,您好，需要材料：1.书面申请（监护人签字）；2.《出生医学证明》；3.落户方的《居民户口簿》和《居民身份证》；4.父母双方的《离婚证》（含确定子女抚养方离婚协议书）、人民法院判决书或者调解书。如您有未尽事宜，请拨打咨询电话5302922。
公安分局,2015-03-31 00:00:00,咨询,关于户口迁移问题,您好，我是厦门常住户口，我老婆是厦门国际银行的集体户。现在要把我老婆的户口迁到我这。这有什么条件要求么？另外，我家户口簿的户主是我母亲。谢谢。,"请公安分局在规定时限内处理并反馈2015-03-3115:03:10送委办局办理给区政府,公安分局。2015-04-0216:09:40返回拟办人给区政府,政务信息中心。",2015-04-03,2015-04-02 00:00:00,你好，需要夫妻双方的户口本，身份证，结婚证，以上均为原件。结婚证还需要复印。本人来办理。
公安分局,2015-04-01 00:00:00,咨询,户口迁移问题,我在本市买了房子，今年把户口迁过来还未结婚，如果我去结婚登记，女方的户口能迁到我这里吗？女方本省外市的。,"请公安分局在规定时限内处理并反馈2015-04-0108:53:39送委办局办理给区政府,公安分局。2015-04-0216:10:33返回拟办人给区政府,政务信息中心。",2015-04-03,2015-04-02 00:00:00,你好，市外迁入可以咨询并提交材料到市政服务中心，电话2034304，不在思明分局申请。
财政局,2015-04-01 00:00:00,咨询,会计从业资格证，无学历证书,我是在大学期间通过会计从业资格证考试，但是高中毕业证没有带在身边，有办法申请发会计从业资格证书嘛？,"请区财政局在规定时限内处理并反馈2015-04-0108:54:11送委办局办理给区政府,财政局,综合科。2015-04-0109:35:06返回拟办人给区政府,政务信息中心。",2015-04-03,2015-04-01 00:00:00,您好，请登录厦门市财政局网站的“会计从业资格管理系统”申请，如选择在思明区办理，我区受理地点为思明区行政服务中心（禾祥东路168号一楼），咨询电话：5896773。
公安分局,2015-04-02 00:00:00,咨询,开具父女关系证明需提交什么材料，有什么要求么,1.开具父女关系证明需提交什么材料，有什么要求么2.是否在思明公安局就可以开具3.证明是立等可取么，还是需要审核时间4.,"请公安分局在规定时限内处理并反馈2015-04-0216:06:10送委办局办理给区政府,公安分局。2015-04-0317:07:43返回拟办人给区政府,政务信息中心。",2015-04-08,2015-04-03 00:00:00,女儿持双方户口本、身份证到女儿户籍所在地派出所查询并开具，信息完整可当场领取。
工商分局,2015-04-03 00:00:00,咨询,尼尔森食品(厦门)有限公司,尼尔森食品(厦门)有限公司，是该局注册企业吗?主要从事哪方面的经营?,"请区工商局在规定时限内处理并反馈2015-04-0708:46:26送委办局办理给区政府,区工商局。2015-04-0915:16:23返回拟办人给区政府,政务信息中心。",2015-04-10,2015-04-10 00:00:00,您好，尼尔森食品(厦门)有限公司登记机关为厦门市思明区工商局。您可登录厦门市商事主体登记及信用信息公示平台（http://www.xiamencredit.gov.cn/），在首页中的“商事主体公示查询”中，输入关键字查找该企业，点击可查阅有关该企业经营范围、注册资金、投资人等相关信息。
公安分局,2015-04-07 00:00:00,咨询,思明区公安分局户政科周末上班时间,您好！请问拿到准迁证后办理夫妻投靠落户需要当日马上办理吗？周末可否办理，需要带哪些材料？,"请公安分局在规定时限内处理并反馈2015-04-0715:47:04送委办局办理给区政府,公安分局。2015-04-2012:29:51返回拟办人给区政府,区政务信息中心。",2015-04-10,2015-04-20 01:00:00,正常情况准迁三个工作日后可办理。提供夫妻双方户口本、身份证、市局准迁材料。周末可办理。
公安分局,2015-04-07 00:00:00,咨询,新生儿落户厦门条件,你好：父母都是厦门思明公司集体户口，新生儿落户厦门条件及需提供哪些材料？,"请公安分局在规定时限内处理并反馈2015-04-0717:10:58送委办局办理给区政府,公安分局。2015-04-0810:56:35返回拟办人给区政府,政务信息中心。",2015-04-10,2015-04-08 00:00:00,父母双方户口簿、身份证、结婚证，小孩出生医学证明，公司同意落户证明。详细请咨询：5302922，谢谢！
区教育局,2015-04-07 00:00:00,咨询,小孩教育问题,你好，请问在厦门无房，户口挂在亲戚家，亲戚户口在瑞景，我们租房在湖东路金祥社区，可以进金祥社区所划片区的小学吗15#######13,"请区教育局在规定时限内处理并反馈2015-04-0714:48:43送委办局办理给区政府,教育局,办公室。2015-04-0810:21:08返回拟办人给区政府,政务信息中心。",2015-04-13,2015-04-08 00:00:00,您好，您的孩子不符合金祥社区片区校的片内生条件。请您于8月2日或3日带孩子到户籍所在地的瑞景小学报名，学校若有学位，可接收；若无学位，将受理并上报区招生领导小组调拨至其他有能力接收的公办学校。详询2684510或2684509。谢谢！
公安分局,2015-03-17 00:00:00,咨询,咨询新生儿能否在厦门落户问题,您好!女方是厦门何厝派出所集体户口，男方是南平市农村户口，请问新生儿宝宝可以随母亲落户到厦门集体户口吗？,"请思明分局在规定时限内处理并反馈2015-03-1717:08:45送委办局办理给区政府,公安分局。2015-03-1911:47:37返回拟办人给区政府,政务信息中心。",2015-03-20,2015-03-19 00:00:00,您好，小孩可以随母亲落户，需持双方的户口本、身份证、结婚证、出生医学证明，以上均需原件及复印件一份，谢谢！
教育局,2015-03-17 00:00:00,咨询,小孩挂靠集体户,您好，我的户口挂靠在湖里区的集体户，我的孩子是不是也可以随我的户口一起落在集体户里？如果可以，小孩子将来读幼儿园是否只能在湖里区念书？还是也可以在思明区念？,"请区教育局在规定时限内处理并反馈2015-03-1808:25:18送委办局办理给区政府,教育局,办公室。2015-03-1916:12:09返回拟办人给区政府,政务信息中心。",2015-03-20,2015-04-01 15:41:33,您好，根据《思明区2014年秋季幼儿园招生工作意见的通知》，思明区公办幼儿园的招生对象为本区常住户籍或暂住在本区符合政策要求的年满3周岁的幼儿，您的户口在湖里区集体户，您的孩子不属于思明区公办幼儿园的招生对象。至于落户问题，建议咨询湖里区公安分局。谢谢！
财政局,2015-03-17 00:00:00,咨询,如何查询代理记账许可证年检记录,要怎么查询才会知道代理记账许可证书去年有没有年检过？,"请区财政局在规定时限内处理并反馈2015-03-1716:57:21送委办局办理给区政府,财政局,综合科。2015-03-1716:58:04送相关人员办理给区政府,财政局,综合科。2015-03-1909:02:18送相关人员办理给区政府,财政局,综合科。2015-03-1909:04:02返回拟办人给区政府,政务信息中心。",2015-03-20,2015-03-19 00:00:00,您好，代理记账年检记录可通过HTTP://WWW.XMCZ.GOV.CN/子网站群的会计行业协会查看。谢谢！
公安分局,2015-03-17 00:00:00,咨询,未成年人投靠父母,本人户口在梧村派出所，妻子在同安，小孩3岁，随我在梧村。小孩打算今年从梧村迁到同安投靠母亲上学，请问以后可否再以投靠父亲的名义从同安迁回梧村，有没有时间间隔，如可以需要带什么材料，去派出所办理吗？谢谢~,"请思明分局在规定时限内处理并反馈2015-03-1711:16:16送委办局办理给区政府,公安分局。2015-03-1910:49:14返回拟办人给区政府,政务信息中心。",2015-03-20,2015-03-19 00:00:00,您好，依据厦门市3月1日后的户籍政策，未成年子女如要投靠思明区的父母，需被投靠人登记为本市户籍人口时间及父（母）结婚登记时间均满五周年。如果您满足以上条件，应该就可以返迁。到思明公安分局服务办证中心办理。
工商局,2015-03-18 00:00:00,咨询,股东变更,有限公司股东变更需要提交什么资料，,"请区工商局在规定时限内处理并反馈2015-03-1811:07:11送委办局办理给区政府,区工商局。2015-03-1911:42:47返回拟办人给区政府,政务信息中心。",2015-03-20,2015-03-19 00:00:00,您好，有限责任公司股东变更登记提交材料清如下：1、法定代表人签署的《公司变更登记申请书》（公司加盖公章）；2、公司签署《股东出资信息》（公司加盖公章）；3、公司签署的《指定代表或者共同委托代理人的证明》（公司加盖公章）及指定代表或委托代理人的身份证件复印件；应标明指定代表或者共同委托代理人的办理事项、权限、授权期限。4、股东向股东以外的人转让股权的，提交其他股东过半数同意的文件；其他股东接到通知三十日未答复的；提交拟转让股东就转让事宜发给其他股东的书面通知。公司章程对股权转让另有规定的，从其规定。股东之间转让股权的无须提交本材料。5、股东双方签署的股权转让协议或者股权交割证明；公司章程对股权转让另有规定的，从其规定。6、新股东的主体资格证明或自然人身份证件复印件；股东为企业的，提交营业执照副本复印件；股东为事业法人的，提交事业法人登记证书复印件；股东为社团法人的，提交社团法人登记证复印件；股东为民办非企业单位的，提交民办非企业单位证书复印件；股东为自然人的，提交身份证件复印件。7、修改后的公司章程或者公司章程修正案（公司法定代表人签署）；8、变更股东，涉及厦门市人民政府公布的商事登记前置行政审批许可事项的，需提交批准文件或者许可证书复印件。9、公司营业执照正、副本。10、人民法院依法裁定划转股权的，应当提交人民法院的裁定书，无须提交第4、5项材料；国务院、地方人民政府或者其授权的本级人民政府国有资产监督管理机构划转国有资产相关股权的，提交国务院、地方人民政府或者其授权的本级人民政府国有资产监督管理机构关于划转股权的文件，无须提交第5项材料。相关变更登记手续的提交材料清单、文书材料、示范文本等，您可登陆厦门市商事主体登记及信用信息公示平台（http://www.xiamencredit.gov.cn/）进行查询并下载，或者您也可直接到工商局登记窗口进行咨询和办理。谢谢！
公安分局,2015-03-18 00:00:00,咨询,直系亲属投靠,<p>你好，我想咨询一下，父母投靠成年子女，父亲未年满60周岁，母亲已满55周岁，那能先投靠一个吗，母亲年满55周岁了，如果户口投靠的话，能不能自己交医社保呢，或者养老保险，以方便就医？另外，我不是独生子女，父母能投靠吗，我名下已经有三个户口了，包括我、妻子、小孩。</p>,"请思明分局在规定时限内处理并反馈2015-03-1815:59:06送委办局办理给区政府,公安分局。2015-03-1910:49:45返回拟办人给区政府,政务信息中心。",2015-03-20,2015-03-19 00:00:00,您好，思明分局回复：您名下多少个户口没有关系，关健是依据厦门3月1日后的户籍政策，要求被投靠子女属独生子女，因此，你的父母不能投靠你。
教育局,2015-03-19 00:00:00,咨询,外地户口小孩能否在厦上幼儿园,你好，我是外地户籍，在厦门工作，有缴社保费，现在住在思明区文园路口附近，小孩也是外地户口，现在到年龄，想上这边的幼儿园，请问：是否可以上文园附近的公立幼儿园，如果可以，需要准备什么资料，盼回复！,"请区教育局在规定时限内处理并反馈2015-03-1910:39:11送委办局办理给区政府,教育局,办公室。2015-03-2015:58:56返回拟办人给区政府,政务信息中心。",2015-03-23,2015-03-20 00:00:00,您好，根据《思明区2014年秋季幼儿园招生工作意见的通知》，思明区公办幼儿园的招生对象为本区常住户籍或暂住在本区符合政策要求的年满3周岁的幼儿，您和孩子的户口在外地，您的孩子不属于思明区公办幼儿园的招生对象。可就近联系附近的民办幼儿园申请入读。谢谢您的关注！
公安分局,2015-03-19 00:00:00,咨询,户口迁移,你好，我原户口在思明区集体户，小孩户口跟我，现在我想将户口迁到其它地方，小孩户口能否继续放在集体户上，盼回复！,"请公安分局在规定时限内处理并反馈2015-03-1916:47:13送委办局办理给区政府,公安分局。2015-03-2017:15:36返回拟办人给区政府,政务信息中心。",2015-03-23,2015-03-23 00:00:00,您好，小孩户口应随监护人一并迁移，详询5302922.
