lettertype,title,submit_t,content,reply_p,reply_t,reply_c
咨询,公交站点增设,2010/6/28,问下，能不能在新店那翔安大道的附近东园村，那厦门大学的新校区那边增设一个公交站啊便于我们村民的日常交通，不然从村尾到村头太麻烦了,信访局,2010/7/9,小黑，您好！来函经转区经贸局阅处，现反馈如下：厦大公交枢纽站正在建设中，建成后就会开通公交车。
咨询,非编外人员招聘考核的《行政能力测验》用书是哪个版本的,2010/6/28,非编外人员招聘考核的《行政能力测验》用书是哪个版本的，一般书店可以购买得到吗？有没有特别限制？,信访局,2010/6/28,您好，非编外人员招聘考核的考试科目没有指定官方教材。至于您提到的《行政能力测验》，很多书店都有销售（就工作人员所知，岛内光合作用、外图等知名书店均有销售），预祝您在考试中取得好成绩。
咨询,房子翻建的具体操作程序,2010/6/28,情况是这样的，我们的房子有182平方左右，有两个兄弟都已经结婚分户了。本来想通过过户再进行翻建，但是经过来回的访问都回答说超平方不能过户。房子结构是用石板建的，每逢遇到雨天的时候，外面就下大雨里面下小雨，百姓实在有苦说不出啊！顺便了解下，假如我们超平方数的应该要通过什么方式或者方法才能过户？听村委说现在政策一个户头只能建90平方，实在于心不忍只能用我父亲的户头进行翻建。那么危房鉴定费用需要多少？具体危房的翻建程序要什么操作，麻烦贵局给予帮忙答复！,新店镇,,新店镇已电话回复小陈，您好！来函经转新店镇核处，现将有关情况回复如下：一、关于超占超建原因不予受理转移登记的依据市国土局2008年37号文第二条第三款规定：若发现土地房屋现状有超占超建未经处理，暂不予办理变更登记。二、关于危房鉴定的事项及收费，可以向同安国土分局危房鉴定所（7579035/7579055）咨询。三、关于了解申请翻建的程序，具体事项可以向审批单位：新店镇村建设办、村建管理站咨询：办公电话7803178。针对上述反映的问题国土所工作人员也于当天7月21日向反映人核实了解情况并作解释。此复。翔安区信访局2010年7月23日
咨询,关于翔安区“一户一宅”的咨询,2010/6/9,咨询两个问题：1、现行翔安区新店镇“一户一宅”的农村宅基地申请政策是按照哪一份政策文件下达的？2、是不是任何单位都不能剥夺公民“一户一宅”宅基地申请的权力？盼回复，谢谢！,国土分局,2010/6/23,张先生，您好！来函收悉。现就您来函所提问题反馈如下：一、依据厦门市翔安区人民政府《关于印发翔安区完善农村村民住宅建设管理暂行办法的通知》（厦翔政[2008]81号）中第十四条有下列情形之一的，不得批准住宅建设用地：父母取得的住宅建设用地宗数已超过其成年子女人数的，其子女不得再申请新宅基地。二、市国土房产局《关于严格一户一宅认定加强宅基地审批管理的通知》（厦国土房[2009]325号）文中对“户”的认定应当遵循以下原则：赡养对象应当与赡养人之一共同申请。在父母的房产符合“一户一宅”政策，且拥有房产面积符合90平米要求的前提下，子女属于正常婚嫁正常分户方可申请宅基地。
咨询,医辽补助,2010/6/9,你好！我有个亲戚是农村的年龄80几岁了，不久前到医院检查查出有癌症，但他没办农村医保，请问象他这样的情况住院治疗有没有报销的比例。,人劳局,2010/6/23,小陈，您好！来信收悉。农村居民基本医疗保险实行个人自愿参保、政府财政补助，参保后可以享受相应的医保待遇，未参保的无法享受。
咨询,翔安区文体局联系电话,2010/6/9,你好，我想知道翔安区文体局联系电话可以告知一下吗？谢谢,信访局,2010/6/11,已邮件回复。
咨询,关于洪钟大道规划,2010/6/9,洪钟大道规划是怎样的？到底会从洪厝的哪些位置经过？网上有电子图可以参考吗？谢谢，请答复,信访局,2010/6/18,小洪，您好！来函经转区规划局核处，现将有关情况回复如下：洪钟大道是水浏线以南的南北向道路，经东山、石厝、后墩与滨海大道连接，该道路不会经过洪厝。若你需了解更具体或其他道路的相关情况，可到区规划局相关处室咨询。
咨询,低保户残疾人医保救济,2010/6/9,请问：即是低保户又是残疾人，住院治疗，有哪些申请医疗救济的方式？谢谢,信访局,2010/6/11,根据我局转区民政局核处，现将有关情况回复如下：根据《厦门市翔安区医疗救助补助细则》（厦翔政[2007]134号）的精神，低保户如住院治疗，可享受医疗救助，如何办理可向镇社会事务办或区民政局（7889521）咨询，区民政局于2010年6月22日上午电话联系反映人，并将办理程序向她解释清楚。翔安区信访局2010年7月8日
咨询,妇女放环不是都有补助吗？,2010/6/9,计划生育部门通知我要放环，我是在厦门吕岭社区居委会开的放环证明，开证明时工作人员告诉我说任何人放环后都可以凭放环证明领取补助（具体多少我忘记了），但为什么翔安区没有呢。,卫计局,2010/6/23,小陈，您好！来函经转区计生局核处，现将有关情况回复如下：落实节育措施是公民应尽的义务。目前翔安区对已上环的对象还没有实行补贴或补助。近日，翔安区计生局正向区政府申请此项补助经费，待批准。我区计生局已将上述情况通过邮箱答复给反映人。
咨询,605是怎么收费的？,2010/6/11,从翔安区政府路口站乘605（大嶝~第三医院）到海洋学院收费3元！请问是怎么算的呢？还有公交车本来就是惠民的，为什么这么短的距离还收费3元呢！怎么才算是夸段呢，区政府至海洋学院同属新店镇范围，是否算夸段呢？,信访局,2010/6/18,您好，来函经转区交通局核处，现将有关情况回复如下：605路公交车采用分段收费，即上车2元，跨段加收1元。从区政府上车就2元，经新店车站这个分段点再加收1元，所以到海洋学院总共就是3元。
咨询,大嶝宅基地,2010/6/11,"大嶝宅嶝崎基地申请有三年了,对照条件都符合,怎么都没有批?",国土分局,2010/6/13,????您好！来信收悉。经查询，今年以来还未接到大嶝街道报送的农村村民住宅用地与建设的申请资料。如您还有其他疑问，可咨询国土房产分局7292689。
咨询,如何申请社保补贴,2010/6/12,您好！我是马巷内安村民，42岁，原来在火炬园一家单位工作，社保也是安本市标准缴纳，失业2个月后现在重新就业，由于社保问题，这家单位不想录用我，请问，象我这种情况，单位是否可以申请政府社保补贴？如果可以，该怎样申请？,人劳局,2010/6/22,"李女士，您好！用人单位招用持有就业困难人员且符合领取社会保险费补贴的人员，可按税收缴交区向同级劳动保障部门所属的就业服务机构提出申请（即在市级地税部门缴交税收的单位，向市劳动就业管理中心提出补贴申请，在区级地税部门缴交税收的单位，向所在区就业服务机构提出申请）,社保补贴采取先缴后补的办法。您可到所在社区劳动保障工作站申请就业困难人员认定，经认定后，被用人单位招用的，用人单位可享受社保补贴。咨询电话：7889830"
咨询,关于失业证办理,2010/6/13,我想办理失业证具体要到哪里去办，带什么证件，上次去火炬那里的人力资源大厦办理，居然说已经搬迁了现在就不知道要去哪里办理了,人劳局,2010/6/23,您好！翔安区《就业失业证》的办理窗口设在区就业管理中心，具体地址为：翔安新店路2009号人力资源大厦一楼（翔安大道旁，区法院前）；办理须知：携带户口簿、身份证原件，一寸近照两张（彩色、黑白均可），如以前办过《就业证》，须带旧证换新证。咨询电话：7889782
咨询,2010年翔安区编外人员招聘笔试成绩大概什么时候能出来？,2010/6/14,请问2010年翔安区编外人员招聘笔试成绩大概什么时候能出来？,人劳局,2010/6/25,您好！《2010年春季翔安区编外人员招聘笔试成绩发布及面试通知》已于2010-06-2310:58:00发布在翔安区政府网站首页最新公告（http://www.xiangan.gov.cn/zxgg/201006/t20100623_13864.htm），请查阅。
咨询,为什么生一女就要上环,2010/6/15,为什么生一个女儿后就一定要上环，为什么不能自由选择适合的避孕方式，因为很多人上环不适应造成身体不适，而且没上环的话跟本不知道自己是否适应，选择适合的方式避孕不是很好吗？,卫计局,2010/6/18,小蔡，您好！来函经转区计生局核处，现将有关情况回复如下：根据《福建省人口与计划生育条例》第十八条，有生育能力的夫妻应当按计划生育要求落实一项有效的节育措施。为此，我区计生局建议该对象落实一项节育措施（上环），如不宜上环，凭县级以上医院或计生服务站证明，可以与镇级计生办签订一项避孕措施。翔安区计生局已通过电子邮箱将此情况答复反映人。
咨询,选择性的避孕,2010/6/18,我想请问一下为什么生一女后一定要上环而不能选择性的采取避孕措施，因为每个人的体质不一样有的人上环身体适应不了造成身体不适，然后又要取环这样对女性朋友的身体伤害很大，自己选择用什么方式避孕不是很好吗？,卫计局,2010/6/25,小蔡，您好！来函经转区计生局核处，现将有关情况回复如下：根据《福建省人口与计划生育条例》第十八条，有生育能力的夫妻应当按计划生育要求落实一项有效的节育措施。为此，我区计生局建议该对象落实一项节育措施（上环），如不宜上环，凭县级以上医院或计生服务站证明，可以与镇级计生办签订一项避孕措施。翔安区计生局已通过电子邮箱将此情况答复反映人。
咨询,大学生创业政策、培训？,2010/6/18,您好，我是08年毕业生，目前待业在家，想自己创业，想问下作为厦门翔安生源的往届生【08年毕业】，在2010年创业的话，是否能享有政府支持大学生创业的相关政策及免费培训？还有信贷创业问题，我都不是很了解。希望能参加创业培训，让自己少走些弯路。谢谢！,信访局,,根据我局转区人劳局核处，现将有关情况回复如下：大学生创业、培训政策主要有：本地失业人员可免费参加由政府部门举办的创业培训；对创业上有资金困难的，可申请小额贴息贷款，最高不超过8万元，同时，根据相关文件规定，可享受税费减免等优惠政策。大学生创业及培训，具体可登陆“厦门市创建创业型城市信息服务网“点击”创业培训等了解相关政策，也可以联系7889815区创业指导中心或咨询2969188市“1+1群”创业培训直接报名。区创业培训中心已于2010年6月30日就反映人所咨询的“大学生创业政策、培训等问题已直接答复给反映人。翔安区信访局2010年7月8日
咨询,何时轮到亭洋农村土地申请,2010/6/1,你好！我们是属于亭洋村坑尾的，想问下农村土地审批申请送报是分批的，想问下今年何时轮到亭洋村哦？,马巷镇,2010/6/18,小陈，您好！来函经转马巷镇核处，现将有关情况回复如下：经了解，亭洋社区的规划近日刚报送，还未批复。待近期批复后，才可进行建房审批。
咨询,关于2009年1月至12月农村孕妇分娩可获400元补助,2010/6/1,"补助要求带住院收费票据及未上缴的孕管卡,但我已办理生育补贴,住院收费票据已缴社保中心,孕管卡也上缴了,所这两项都无法提供,请问这样的话,如何办理,能否申请?",信访局,2010/6/3,根据我局转区卫生局核处，现将有关情况回复如下：据咨询人电话，区卫生局工作人员经与联系予以电话答复，其表示已了解补助政策及程序。翔安区信访局2010年6月8日
投诉,750公交问题,2010/6/1,"现在750不是已经一票制了,可不可像正常公交一样用无人售票,这样既节省乘客时间又可以增强公交运营效率",信访局,2010/6/8,
咨询,老公按夫妻投靠来我家，户口本已经独立一本，到时候可以申请在盖房子吗？,2010/6/2,我是翔安内厝塘头村的，今年老公户口已经落户到我家，我们有独立户口本了！户主是他的名字！想问下到时候我们可以在村里申请盖房子吗？谢谢回复？,信访局,2010/6/15,小柯，您好。来函经转内厝镇核处，现将有关情况回复如下：宅基地申请需符合以下3个条件：1、该村村民代表大会通过，同意接纳其夫为本集体经济组织成员、享有本集体组织经济成员的权利和义务。2、审核该夫妻身份（是否公职人员、国营企业员工等）；3、审核该夫妻是否符合一户一宅认定。
咨询,新型农村居民基本保险制度,2010/6/2,刚刚看到一个人反映：2008年7月厦门实行了新型农村居民基本保险制度。原先有缴纳社会保险的村里返还50元给个人。请问这50元是翔安有缴纳社保的人都有，还是个别村子的优惠。为什么我们都没听说。,人劳局,2010/6/7,小刘，您好！来信收悉。城乡居民基本医疗保险每年每人缴费50元（残疾人、低保人员免交），政府每人每年补助190元，社保费缴纳后入库专款专用，实行收支两条线管理，不能退还、挪用；现有部分村财收入较高的村、居委会统一为其村民、居民缴纳城乡居民基本医疗保险个人应缴部分的社保费，其村民、居民个人不需缴纳。
咨询,社区何时进行卫生消毒？,2010/6/3,看报纸报道，海沧，翔安的卫生防疫部门都在对社区进行消毒处理，为什么都不安排到马巷的内官村消毒呢？这个村就算是冬天，蚊子还是跟苍蝇一样大，夏天就更不得了了，咬到都会起疤，环境卫生实在太差了，政府别只顾着搞经济啊,卫生局,2010/6/5,您好！来信收悉。据社区主任反馈，该村有配备环卫保洁员清扫村里的环境卫生。至于苍蝇、蚊子多问题，今后将进一步加强保洁工作。村民应该养成良好的卫生习惯，保持卫生洁净，如有卫生环境差问题，可与村、镇领导反映，在组织全村开展爱国卫生运动时，可联系区爱卫办协调消杀事宜。
咨询,翔安大道一个公交站点也没有,2010/6/3,现在翔安隧道通车了，可是翔安大道那么长的路一个公交站点也没有，对于沿路那么多村庄的百姓要坐车去厦门一点也不方便，原来怎么转车还是要那么转！,经贸局,2010/6/5,您好，来函经转经贸局，现反馈如下：您来函反映的问题，已向公交公司反映，希望他们对翔安大道进行设立候车亭等相关事宜进行调研。
咨询,农村孕妇分娩可获400元补助,2010/6/3,女方是新店的，男方是马巷的，结婚后女方户口还在新店，请问400是到新店卫生院领还是马巷卫生院领？,信访局,2010/6/5,根据我局转区卫生局核处，现将有关情况回复如下：据咨询人电话，区卫生局工作人员经与联系予以电话答复，其表示已了解补助政策及程序。翔安区信访局2010年6月9日
咨询,关于档案的寄存问题,2010/6/3,尊敬的领导们：在下有件事情想请教一下，就是关于学生档案寄存问题。怎么处理的，比如说：某个学生在福州或者外地读书，现已毕业了。档案打回原籍后，怎么查档案是否有打回原籍，或者说我们翔安区哪个部门是专门管毕业生的档案的。请领导指教指教，因在下也是今年刚毕业的，遇到这种事情很烦恼。在此，先谢谢领导。,人劳局,2010/6/7,您好！来信收悉。要查找档案现存放位置，请跟学校学生档案处确认您的档案具体投寄地址，然后再根据学校的投寄地址去查找，这样最精确；如您让学校把档案打回翔安原籍，也可以向翔安区人才服务中心查询。翔安区人才服务中心地址：翔安区新店路2009号人力资源大厦一楼104，咨询电话：0592-7889960。
咨询,农村医疗补贴,2010/6/4,09年生育的农村医疗有补贴400元，怎么办理,信访局,2010/6/7,根据我局转区卫生局核处，现将有关情况回复如下：据咨询人电话，区卫生局工作人员经与联系予以电话答复，其表示已了解补助政策及程序。翔安区信访局2010年6月9日
咨询,想咨询下翔安区的招商服务中心什么时候会有招聘信息呢？,2010/6/6,至亲启者：您好，今天看到同安区事业单位公开招聘岗位有同安区招商服务中心在招涉外招生人员，请问我们翔安区的招商中心什么时候能有类似的招聘信息呢。我是2010年英语专业的应届毕业生，冒昧地说下我感觉我们翔安区对英语方面的人才不太够重视。,经贸局,2010/6/8,小刘，您好。来函经转经贸局，现反馈如下：招商中心今年没有招收此类人才，以后如果有招聘，会由区人劳局发布招聘信息。请注意查看翔安区政府网站的信息。
建议,钱到那里去了。。。。。。,2010/6/6,乌山村财务从来没公开够从农民手中收的建房子的钱也不知道上了那里了小组收的钱也不见了这是什么村啊,信访局,2010/6/20,您好，来函经转新圩镇核处，现将有关情况回复如下：经调查，自实行村、组财镇级代管以来，规定每季度结账一次，若发生业务较多，随时结账。村级财务公开按每季度公开一次，重点事项即时公开，新圩镇会计中心提供有关会计报表送达村级负责公开，村级现金、银行存款收支公布表由村级出纳提供公开。自2006年至今年第一季度，乌山村涉及村民建房缴纳土地补偿款（按厦翔政[2008]81号文件第二十四条规定）及建房押金等累计达81.42万元，全部入账，可收入部分主要用于实施旧村改造和新村建设建项目支出；而村民小组的收入主要用于是龙眼、田园、山地承包款及部分证明款，以及银行存款利息收入、村下拨专项款等，全部入帐。并非所反映的情况那样。
咨询,关于农村个人建房建设用地报批清单公示,2010/6/7,"请问:内厝镇的农村个人建房建设用地报批清单是安排在第几批公示,大概什么时候能公示出来,谢谢!",国土分局,2010/6/13,您好！来信收悉。目前内厝镇政府已上报一批农村村民住宅用地与建设申请资料，因上报的资料不全，已退回镇政府补充材料。如能及时补齐资料，国土房产分局将在8个工作日内组织审核，而后按规定呈报区政府进行公示、审批。
建议,还翔安区马巷鼎炉药房旁的站点乘客一个落脚点,2010/6/7,还翔安区马巷鼎炉药房旁的站点乘客一个落脚点，每次到那个站点去搭车，那站点都会被摩的占据，要搭车的乘客都没办法站，本来摩的载客就存在安全隐患，好多摩的都直接开到那候车站上，一有乘客就马上冲下去，虽然现在赚钱不容易，但这样根本不行，希望有关部门管一管，让摩的在相应的地点，有秩序的停靠。,信访局,2010/6/18,您好，来函经转区交警大队核处，现将有关情况回复如下：经查，马巷鼎炉药房旁公交站点交通秩序较乱，主要由摩的非法营运及乱停放引起的。关于摩的非法营运的，区交警大队已将该问题反馈给运管所，要求加强管理。并责成马巷中队加强日常管理工作。
咨询,申请宅基地,2010/5/13,我叔于2008年申请一块宅基地，于2009年10月土管部门有勘察过一次，至今已过半年无下文，第三批已在报批中，不知可有莲塘村名额。盼回复！谢谢！,国土分局,2010/5/15,您好，您可联系内厝国土所查询，联系电话：7079800。
咨询,妇检问题,2010/5/15,我们一直在厦门工作，可每一季度的妇检都要回大嶝，实在是很不方便。这次回去的时候有咨询了村里的负责人，不但没有结果，还被消遣了一顿，实在是搞不清楚状况。那些妇女们实在是让人无法接受，都不知道她们那么嚣张的资本是什么？一点知识也没有，再怎么说我们也是纳税人，她们是服务人员，都反了。像我们这情况的非常多，一直捆扰着我们。可有更好的解决方法呢？,信访局,,已邮件回复。根据我局转大嶝街道核处，现将有关情况回复如下：一、在大嶝育妇当中找不到蔡梅琴（信访人）这个人，故不能找到该育妇属哪个社区居民，也不能找到其所说的负责人，因此是否消遣无从查起。二、大嶝每年三次的妇检是每个育妇的义务，而关于在厦门岛内工作的育妇，街道计生办考虑到在厦门岛内工作的育妇往返不方便的问题，每轮妇检都组织卫计人员到厦门岛内上门服务。每年三轮的妇检，育妇两轮可以在流出地的计生服务站参加妇检，寄回证明即可。翔安区信访局2010年6月4日
咨询,内厝请教宅基地的申请情况,2010/5/18,尊敬的领导您好！我是内厝村民许福利，我申请的宅基地，国土资源的同志已经去看过了，等了很久了现在又没有消息了，请问我的宅基地是否是在第三批次农村个人建房建设用地里面吗？多次打电话去国土的，他们说已经送区了，目前在准备报批中。请问什么时候会公布呢。再次感谢！,国土分局,2010/5/20,已电话回复咨询人。
咨询,307路首末班时间,2010/5/19,您好，我想请问下307路的首末班的时间是几点···,信访局,2010/5/31,您好！来信收悉。307路马巷首班6：00，末班19：00，东烧尾首班6：30，末班19：30。
咨询,村改居”后的计生政策问题咨询,2010/5/20,翔安区目前大多数的村庄已完成村改居的工作，我想咨询一下村改居完成后，原有的农村计生政策如何调整，谢谢！,卫计局,2010/5/31,您好！来信收悉。据了解，村改居满五年后不再适用农村人口的生育政策。但其仍然在所在村依法承包责任田，从事农业生产的，视为农村人口。您可就具体情况向马巷镇计生办进行咨询。
建议,关于黑D###35东风货车撞伤一个快70岁老人事件（事故通知单编号：021#######81）,2010/5/21,2010年4月20日，一部黑D###35东风货车在324国道撞伤一个快70岁老人叫许大社，骑的电动车，一个月了至今还没有处理结果。一个近70岁老人家，因为不识字，且到交警大队处理事件，一会找这，一会要去找谁，就连签名的内容，都不清楚。本来住院出来，身体还没完全康复，折腾得自己头经常在痛。在住院期间，肇事司机根本连最基本的社会道德都没？也没有去看过老人一眼。连医药费还是老人亲属垫的。而且电动车也一直扣押在马巷交警大队。肇事司机还歪曲事实说：是老人自己跌倒，因为当时是急着送老人去医院的，加上农民不懂法，让司机把电动车给移到不是撞倒在地的现场了，在加上司机的口述（歪曲事实）变成是老人家的自己摔倒。当时还有四、五个村民在场呀！万幸的是70岁老人没有造成严重甚至死亡的后果。是不是只有人死了，政府才会重视？。可笑的是，政府单位是如此的办事效率和处理态度。一个微不足道的、普通的农民，连字都不识，能怎么办呢？能求助谁呢？世风日下呀？？？,信访局,,已邮件回复。根据我局转区交警大队核处，现将有关情况回复如下：经现场勘查，未发现双方有明显刮擦痕迹，无法认定事故事实，目前已出具了道路交通事故证明。同时，6月1日大队交管科主动打电话询问当事人许文武具体情况，但当事人许文武对交警核查工作不配合，说自己不愿意多讲话，表示对政府不满意。翔安区信访局2010年6月4日
咨询,我想了解下，公安法制算不算法律专业的。,2010/5/21,你好。我这次报了翔安区司法局编外人员的考试，但是在报名审核的时候被告知我所学的专业不算法律专业，以前报公务员的时候都可以，这次怎么不行了？,人劳局,2010/6/2,您好！来信收悉。第一，您毕业证书上的专业名称是“治安管理（公安法制方向）”专业，并非您所称的“公安法制”专业，参照《福建省2010年度机关事业单位招考专业指导目录》，治安管理属于公安管理类，与法律专业所在的法学类属于不同类别。第二，不能以您专业的方向（即括号内的名称）来认定您所学的为这个专业，举个例子，我们曾见过有的考生专业是“护理（英语方向）”或者“工商管理（药学方向）”，如果招聘岗位要求英语专业或者药学专业，显然不能认定“护理（英语方向）”或者“工商管理（药学方向）”符合专业条件。
投诉,厦门到马巷的直达车750没办法直达，建议引入竞争，不能独家经营，不然就要改革。,2010/5/24,坐了一次750，以为隧道的开通应该可以缩短20分钟，没想到，直达车要绕那么长的线路，1小时以上的路程，这样的结果让民众不敢恭维。直达车应该和普通公交有区分，不然就要引进竞争，让其他客运公司、私营企业和个体户参与竞争，和的士一样，采用多家客运公司进行竞争。政府应该推进改革，让直达车能真正直达，方便民众。能不能办到我都感谢政府，希望翔安交通能四通八达，配套服务也要日新月异。,信访局,2010/5/25,
投诉,建议翔安沿九溪建一条新店到内厝324的大道，把翔安的母亲河建成观景走道。,2010/5/24,建议翔安沿九溪建一条新店到内厝324的道路，好让324国道的车不用在经过马巷走翔安大道这么长的路，也方便新店到内厝东部的老百姓，因为九溪两岸的百姓真的不少，可是这些百姓要到岛内都是要经过马巷，新店在到岛内，联新店到内厝大部分都是要经过马巷，真的特别麻烦，在九溪建一条大道，把翔安的母亲河建成观景走道，区政府应该一体化，统筹发展不要像翔安南路，八一路，建哪么久都没有什么汽车在跑，钱应该用在民生上，用在能为经济发展的地方上，希望我的这个建议能回复，不要在别隐屏，不难真的太不民主了，言论自由吗，更何况我又没有说错话。,信访局,2010/6/14,
咨询,"大嶝北门村审批的土地什么时候能下来呢,~~",2010/5/27,"我们是大嶝北门村了，申请新建房屋的资料于10年2月就递到村委了，可是据知审批是一批一批了，请问什么时候会轮到构们村的呢？我们村已经好几年没有审批土地下来了,请领导给予落实,谢谢~~~~",国土分局,2010/5/29,您好！来信收悉。经查询，今年以来还未接到大嶝街道报送的农村村民住宅用地与建设的申请资料。如您还有疑问，可咨询国土房产分局7292689。
咨询,家里有两个兄弟可以审批几块地,2010/5/27,我听村里的领导说，原来父母有房产的，现在家里如果有兄弟两个，而且已经成家的，目前只能申请一块建房土地，想咨询下是不是翔安区目前有这个规定，还有如果真的有这个规定，什么时候能放宽政策，谢谢！,国土分局,2010/6/7,您好，依据市国土房产局《关于严格一户一宅认定加强宅基地审批管理的通知》（厦国土房[2009]325号）与厦门市翔安区人民政府《关于印发翔安区完善农村村民住宅建设管理暂行办法的通知》（厦翔政[2008]81号）规定，父母取得的住宅建设用地宗数已超过其成年子女人数的，其子女不得再申请新宅基地。被赡养对象应当与赡养人之一共同申请。
咨询,2010年春季翔安区编外人员招聘考试咨询,2010/5/29,请问一下2010年春季翔安区编外人员招聘考试什么时候？,人劳局,2010/5/30,您好！2010年春季翔安区编外人员招聘的准考证领取及笔试时间已在翔安区政府网站的最新公告栏发布，具体考试信息请登陆翔安区政府网站（http://www.xiangan.gov.cn/）的最新公告栏查看。
咨询,关于小孩生病能否报销费用,2010/5/29,"你好,我想请问一下,我家户口在马巷,我家女儿一周半,有医保卡,前几天在市第一医院看病,花了700元,请问能报销吗,到哪里报销,需要什么资料,谢谢",人劳局,2010/6/7,您好！来信收悉。若您的小孩已参加我市未成年人基本医疗保险，并已办理社会保障卡（医保卡）的，在我市定点医疗机构（市第一医院属定点医疗机构）看病就医时刷卡即可实现医保报销结算，由社保基金支付部分的医疗费已当场结算，无需再办理报销手续。如还有其他疑问，可拨打区社保中心电话7889772、7889773咨询。
咨询,保障性住房,2010/5/30,请问翔安现在还可以申请保障性住房吗？,信访局,2010/6/10,您好！来信收悉。社会保障性住房作为政府的一项长期工作，常年可以申请。社会保障性住房分保障性租赁房、经济适用住房、保障性商品房，详细的申请条件及申请流程可咨询您户籍所在地居委会或拨打咨询电话：5106000（市保障性住房咨询热线），7889681（区住房办）。
建议,投诉合同及交缴社医保费的问题,2010/5/6,我替朋友投诉2010年5月06日书面申请翔安区劳动监察大队要求依法查处《厦门泓洋工贸有限公司》不给员工及一部份技术员同事签合同及交缴社医保费的问题，本人及同事都是2009年6月份至今未办合同交缴社医保费的问题。之前4月底时我有打电话找翔安区劳动监察大队投诉要求出面解决，他们建议本人到大队投诉，因上班没时间故用书面投诉；今天看到报纸今年医保新变化，如在5月25日还未办理缴纳医保费问题，今年将不能享受医保待遇。希望监察大队及时到翔安火炬工业区厦门泓洋工贸有限公司帮我们打工的讨回国家条款中的该享有的福利，非常感谢！,信访局,,
咨询,2010年春季翔安区编外人员招聘咨询,2010/5/7,你好，我是普教大专学历，数据库管理专业，本人是1984年7月25日出生的，是否可以报考工勤C岗位？,人劳局,2010/5/10,您好！工勤C岗位最高年龄要求为25周岁，计算方法是1985年1月1日后出生，故您不能报考该岗位。
咨询,2010年度第三批建房清单怎么还不公示呢,2010/5/7,5月份都过去了2010年度第三批次农村个人建房建设用地报批清单还不见踪影呢。这个不是按月份的，是按什么呢？什么时候会公示呢,国土分局,2010/5/11,您好！来信收悉。农村个人建房建设用地公示是按照各村组织报送情况开展的，并无月份限定。目前我区第三批次农村个人建房建设用地正在组织报批中。
咨询,商务英语专业学生编外岗位可以报哪个？,2010/5/7,你好！想请问下我是商务英语应届毕业生，想请问下编外岗位哪个我可以报的，谢谢……,人劳局,2010/5/9,您好！本次非在编雇用人员招聘没有招聘商务英语专业的岗位，请继续关注以后的招聘信息。
咨询,房屋申请,2010/5/7,我们是马巷亭洋村了，申请新建房屋的资料于09年8月就递到村委了，可是据知审批是一批一批了，请问什么时候会轮到构们村的呢？,国土分局,2010/5/11,您好！来信收悉。经了解，亭洋社区2009年曾报送一批农村个人建房申请，但由于该社区的村庄规划未获审批，宅基地申请无法进行审查报批。2009年换届选举后，各社区成立宅基地申请监督小组，申请户需经监督小组及包村干部审核同意后才能上报，所以亭洋社区的个人建房申请全部退回社区补充相关材料，至今未再上报。
咨询,查询土地批下来没有,2010/5/7,"你好!帮我查询一下翔安区新店镇浦园村4组李瑞和的土地批下来没有,谢谢!",国土分局,2010/5/9,已电话回复咨询人。
建议,公交公司后勤管理人员,2010/5/8,翔安区公交公司后勤管理人员应加强管理，存在很多公车私用现象。,信访局,,您好!来信收悉。经核查落实，并无发现公车私用的现象。关于公务车的使用，公司相关科室日常的上路安全检查和特定的早、中、晚违章违纪的稽查工作以及晚上当班值勤人员下班交通工具，都是按照《翔安公交公司公务车使用管理规定》执行管理的。
咨询,房产证问题,2010/5/9,我家房子是90年时候建的那时候有房产，但是我们98年时候加盖2楼房子，把房产证和2楼的手续.钱-一起交到办证中心，申请2楼产权。但是几年过去了，我们去了无数次，他们的回复都是正在给你们办理，到了去年，我们村被市政府征地。现在我们村在分配安置房，但是我们家的房子现在变的没有产权证拆迁处不给于处理。我想咨询我应该向那里去反映这个问题！谢谢,国土分局,2010/5/18,您好！来信收悉。经调查，该房屋原有土地证遗失。在查档登报后到新圩国土所办理交件，经国土所工作人员核实，您不符合“一户一宅”且没有建设手续，不满足受理条件并予以退件。如您还有疑问，您可咨询国土房产分局房产权籍科，联系电话：7292691。
投诉,建议公交相关事宜,2010/5/10,"市府领导/翔安区领导：您好。关于翔安公交的建议？1、翔安文化中心站对面的站点离美地雅登太远了，建议专业的人士重新考察,设置好站点。现在设置的为什么要离路口那么远呢？2、780路公交车从新店到海沧能否改翔安公交公司到海沧呢？3、同安影视城有否有一般车经翔安隧道的公交车线路呢？票价能否降到和岛内一样？每个站都有上下客。4、建议有一班车翔安公交公司到轮渡的班次车？",信访局,,
投诉,公交线路建议,2010/5/10,随着翔安隧道的开通，交通越来越方便。但是现在却没有马巷到新店的公交线路，只有同安的公交线路途经，但是费用要2元。为了翔安的发展，体现民生，建议增开马巷至新店的线路，费用1元。谢谢。,信访局,2010/5/24,
