title,time,content,repcontent,reply_p,reply_ta
2014年度企业年检,2014/3/20 0:00,2014年度的企业年检什么时候开始？需要准备哪些材料年检，网上年报的话，网址是多少？是否需要审计报告？,我处于2014年3月31日上午接到此件，并于3月31日上午电话回复留言人，留言人表示问题得到解决。,,2014/4/16 0:00
公司名称修改,2014/3/12 0:00,把某某公司（厦门）有限公司的“厦门”改成“福建”或者“中国”要如何办理？需要带什么资料？,我处于2014年3月18日接到此件，并于当是下午电话回复当事人，当事人表示满意。,,2014/3/19 0:00
基础验收,2014/3/13 0:00,您好！我不知道基础验收的资料要哪些，能帮我发到我邮箱吗？谢谢,基础验收请致电22###21详询。或到建设局www.xmjs.gov.cn.质安站查询办事指南。,,2014/3/19 0:00
关于《营业性演出许可证》,2014/3/13 0:00,请问现在厦门还可以办理《营业性演出许可证》吗？需要去哪里申请，准备什么材料？,已告知当事人相关办理事宜。,,2014/3/27 0:00
外国人无犯罪记录证明,2014/3/13 0:00,有位美国朋友于2008年8月到2013年6月居住于海沧，现在人已经回美国，因为工作需要，需要公安局出具一份其在厦门期间的无犯罪记录证明。请问具体应该到哪个部门办理，需要出具哪些文件和资料。,本人持有有效护照及《外国临时住宿登记表》到市行政服务中心二楼D厅14号窗口办理。,,2014/3/19 0:00
户口挂靠迁移,2014/3/13 0:00,您好，跟您咨询两个问题：1、我是厦门集体户口，现要移出挂靠在思明区朋友户口下，需要什么材料，哪办理？2、我老婆漳州农村户口，大专学历，在厦门工作，可以跟我随迁到朋友户口下吗，要怎么办理？,1、本人与被挂靠人持双方户口本、身份证，本人还需持房管局出具的本人及其直系亲属在厦无房证明，被挂靠人还需持本人房产证，到被挂靠人户口所在地派出所办理，属思明区的（大学派出所除外)在思明公安分局办理。2、持夫妻双方的户口簿、身份证、结婚证，原件和复印件（A4规格）1套到市行政服务中心二楼D厅5、6、7、8、号窗口办理。五个工作日取件。,,2014/3/19 0:00
更换新版营业执照需要带什么资料吗？,2014/3/13 0:00,为什么打服务电话老师打不通,于2014年3月18日电话回复留言人。,,2014/3/19 0:00
单位公有住房出售,2014/3/13 0:00,现在我需要办理单位公有房出售。请问这项业务办理，所依照的法律法规有哪些？到哪里办理该项业务，办理时需要带齐哪些材料？,7月3日接到通知，3日下午将材料发邮件并告知。,,2014/7/11 0:00
关于夫妻户口挂靠的问题,2014/3/13 0:00,丈夫为本市常住户口，但是挂靠在亲戚家。妻子为龙岩户口。像这种情况能否办理夫妻挂靠？,可以。持夫妻双方的户口簿、身份证、结婚证，原件和复印件（A4规格）1套到市行政服务中心二楼D厅5、6、7、8号窗口办理。五个工作日取件。,,2014/3/19 0:00
新版营业执照,2014/3/13 0:00,厦门现在去更换营业执照是否是最新版本的，有二维码的？工商总局3月1日就是最新版本了。,于2014年3月18日电话回复留言人。,,2014/3/19 0:00
关于厦门市屋顶绿化的政策,2014/3/14 0:00,您好~！我想咨询一下。我们公司在沙坡尾，楼顶（三层）。因之前开展设计大赛，有设计师提供了屋顶花园+雨水收集的想法，我们通过做方案以及探讨，最终决定想建设屋顶花园以及雨水收集，不知道市政园林局有没有相关的政策呢？,目前我市还没有关于屋顶绿化（花园）的相关政策，省驻建厅目前正在制定“福建省的绿化管理制度”已基本定稿，将由省政府下发后实施。,,2014/5/15 0:00
新申请爆破与拆除工程(限人工与机械拆除)三级,2014/3/14 0:00,新申请爆破与拆除工程(限人工与机械拆除)三级：1.技术负责人中级以上职称，请问要求是什么专业的工程师？2.工程技术人员中，《建筑业资质管理规定》资质标准要求中级以上职称的工民建，机械，爆破专业技术人员不少于4人，请问是不是只需要提供工民建和机械专业的工程师即可，无需爆破专业的工程师？3.拆除施工机械及测试仪器具体需要哪些？4.需要提供D级大爆破和C级拆除爆破设计证书和爆炸物品使用许可证吗？非常抱歉，提了这么多问题，恳请回复，非常感谢！,1、工民建专业。2、无需爆破专业工程师。3、机械及仪器要求与承包拆除工程相适应，例如钻孔机，风镐，空压机、发电机，测震仪、金钻仪等。4、无需提供5、我局只核发“爆破与拆除工程专业承包三级（限人工与机械）资质证书。,,2014/5/15 0:00
关于外来人口在厦门落户的问题,2014/3/18 0:00,暂住证我已经办满8年，也有固定房产，办理所需材料我都已经准备好，但是就是因为《无犯罪记录证明》的原因没能通过申请，我问了受理人员说我户口所在地的派出所开具的《无犯罪记录证明》无效，要拟落户地派出所开具的《无犯罪记录证明》，我想问下因满8年暂住证落户所需办理《无犯罪记录证明》的申请材料和办理程序是怎样的？,持本人户口本、身份证、房产证及原籍派出所出具的无违法犯罪证明到拟入户地派出所申请。,,2014/4/16 0:00
区内迁移户口,2014/3/18 0:00,"您好!一家三口的户口均在岛外农村,因考虑到孩子下学期就要上学,拟将自已和孩子户口迁到自已的商品房(空户),妻子户口暂不迁,属区内迁移,需要如何办理?谢谢!",是岛外区内迁移吗？持户口本、房产证、、结婚证、出生证到入户地派出所办理。,,2014/4/16 0:00
关于外省企业备案,2014/3/18 0:00,您好，我们单位注册地是天津，资质为水利水电一级资质。我们想在厦门备案。需要咨询以下几点问题：1、是不是必须在厦门设立分公司。（我们在福州已设立分公司）2、三类人员（A、B、C、）是建委颁发的安全考核证还是水利部办法的安全考核证？,1、不强制要求在厦设立分公司，但必须有驻度管理人员任命办事处和办公场所。2、安全考核证建设或水利部门频发的均可。,,2014/3/31 0:00
咨询刻章事宜。,2014/3/10 0:00,刻章需要准备什么资料，可以代办吗？代办需要带什么资料？,刻制不同的公章，要准备不同的资料，要看具体是刻制什么公章，具体可以来电咨询，咨询电话：0592-77###73.关于代办问题，新公司的公章和财务章要法人本人来办理，其它印章可以由经办人带法人身体证复印件和其它相关资料前来办理。,,2014/3/19 0:00
海沧区项目备案,2014/3/10 0:00,您好！请问如下项目备案要在哪个部门申请，（具体地址在哪里）谢谢！厦门谊和商业道具有限公司（地点在海沧区东孚镇）关于“世界知名服装品牌展架生产环境技术改造项目”项目备案。,企业可以在海沧区经贸局或市经发局申报关于“世界知名服装品牌展架生产环境技术改造项目”项目备案。,,2014/4/16 0:00
户口迁入,2014/3/11 0:00,我户口是泉州安溪的，老婆的户口是厦门湖里区的。现在我的户口要挂靠老婆那里，需要哪些证明和手续？办理时间要多久。,持夫妻双方的户口簿、身份证、结婚证，原件和复印件（A4规格）1套到市行政服务中羽二楼D厅5、6、7、8、号窗口办理。五个工作日取件。,,2014/3/19 0:00
新生儿孙女的户口能否投靠户口在厦门岛内的亲奶奶,2014/3/11 0:00,您好：孙**出生，还没上户口。父母虽有小房长年居住厦门。但不是厦门户口。只有奶奶是厦门常住户口。请问新生儿能否投靠亲奶奶。需要什么条件。哪些资料,不可以。,,2014/3/19 0:00
内资企业变更名称和经营范围,2014/3/11 0:00,内资企业变更名称和经营范围，要如何办理？,我处于2014年3月18日接到此件，并于当是下午电话回复当事人，当事人表示满意。,,2014/3/19 0:00
印刷登记簿下载不了,2014/3/11 0:00,印刷登记簿下载不了，没有格式，是怎么回事？,已告知当事人相关办理事宜。,,2014/3/27 0:00
购房入户,2014/3/11 0:00,我想2014年在同安买即将开盘的尚品湾的83平米，他们说是2010年批准的用地，到2016年交房，2017年才能办户口，我想问16年以后还能不能迁户口（现在是河南户口）,可以。,,2014/3/19 0:00
拆除工程专业承包三级资质,2014/3/11 0:00,刚成立的新公司，要申请拆除工程专业承包三级资质，请问需要哪些条件？拆除工程三级资质的标准是怎样的？如何办理？,"标准请查阅《建筑企业资质等级标准（建建[2001】82号）“爆破与拆除专业承包企业资质等级标准"",与爆破有关人员证书不需提供。办理流程详细请查问《建筑企业三级资质核准办事指南》，先至企业所在区建设局办理初审。",,2014/3/21 0:00
办理产权证时缴纳各项税和费可以刷卡么,2014/3/11 0:00,办理产权证时缴纳各项税和费可以刷卡么，因还有契税等，不想携带太多现金，咨询是否可以POS机刷卡,可以刷卡，但目前政务中心只有厦门银行和农业银行营业点，所以只能刷厦门银行和农业银行卡（信用卡不可使用）。非厦门银行和农业银行卡只能现金缴交。,,2014/7/11 0:00
大中专毕业挂靠落户朋友家（思明区），小孩落户问题,2014/3/11 0:00,我2009年大学毕业在厦门工作，户口从学校迁出，迁入厦门1个朋友家庭户中。现在我的孩子出生，小孩户口需跟我的户口，需要如何操作？小孩的户口和我一起放到朋友家吗？现在遇到户口放到朋友家不方便的问题，我该怎么办？,持夫妻双方户口簿、身份证、结婚证、出生证到6户口所在地派出所申报新生儿户口。属思明区的（大学派出所除外）在思明公安分局办理。,,2014/3/19 0:00
劳务派遣许可证上有写每年3月需要提交经营情况报告,2014/3/11 0:00,您好！看到劳务派遣许可证上有写每年3月需要提交经营情况报告，需要什么材料或内容。交到哪里，咨询电话是多少？谢谢。,已回复。,,2015/2/28 0:00
购房资格,2014/3/12 0:00,我是名高**，户口在双十中学集体户，我能在厦门岛内购房吗？,可以。厦门户口以家庭为单位可以购买两套住宅性质房产，如果你未满18周岁，家庭成员包含父母。,,2014/7/11 0:00
单位自管公房出售的合同到哪里下载，找不到。,2014/3/12 0:00,我司要把单位自管房房改给职工家属，不知道售房合同在哪里下载，还有保证书。,7月3日接到通知，3日下午将材料发邮件并告知其同事。,,2014/7/11 0:00
厦门落户问题,2014/3/12 0:00,在岛外持有暂住证满五年以上，社保劳动合同之类都达到要求，房屋住所是租住的，要怎么样才能落户厦门。谢谢,必须本人或配偶名下有房产证的房屋。,,2014/3/19 0:00
地址锁定咨询,2014/3/5 0:00,你好，我想问下思明区后埭溪路28号皇达大厦20楼N单元现在登记的是富邦财险公司的全称是什么？因为这家公司已经搬迁，又暂时没有时间去做变更，我公司着急变更。想申请住址锁定。需要带哪些资料到哪个窗口办理,于2014年3月14日电话回复留言人。,,2014/3/19 0:00
房产证意识补办问题,2014/3/5 0:00,本人前段是时间遗失房产证，申请了遗失补办，已经到了登报测绘出图的阶段。正好有将找到的房产证找到了，想要撤销挂失，不知需要怎么办理。？,请本人尽快携带身份证、产权证、报纸、到一楼B厅找101室许先生直接办理。,,2014/3/27 0:00
购房落户,2014/3/6 0:00,您好！我的户口在老家德化，2011年离婚后以个人名义（产权证上只有我一人名字）在杏林买了一套89平米的一手商品房，购房有3个落户指标。离婚几个月后又跟我老公复婚了，原先有一个儿子（09年出生）。1.我和儿子的户口现在都在老家老公为户主的户口薄里面，现在想再生一个。若再生一个就属于违反计划生育的，这样户口是否就不能迁入厦门杏林？2.如我（作为户主）生二胎违反计划生育户口无法迁入，是不是我儿子（09年出生）的也就没办法迁入？未成年没办法单独立户的。3.还是说：我生完二胎，老二也在老家落户并缴交完社会抚养费后，我可以申请厦门落户呢？4.若能落户——3个指标，是否到时候我可以迁入的3个人分别是：我，我儿子（09年出生），老二（违反计生的），还是超生老二的没办法办理落户？,现有政策可以按下列办理：生完二胎，老二在老家落户并缴交完社会抚养费后，本人及二个孩子可办理购房入户进厦门。,,2014/3/19 0:00
新生婴儿户口及医保问题,2014/3/6 0:00,我的户口在厦门，是公司集体户口，先公司不同意我孩子落户在单位里。房子还未交房无房产证办理户口，使得孩子户口没地方落户，请问这样孩子能办理新生儿医保吗？,已电话答复当事人。,,2014/3/19 0:00
异地分娩住院费报销,2014/3/6 0:00,"你好，我老婆厦门户口，社保都正常缴交，现在需要在宁德市医院分娩，12###官方的回答""从12月份开始厦门的医保卡可以在福建省内全省联网的医疗定点机构直接刷卡就医，分娩也一样，直接刷卡就医，该报销的会直接免掉。""可是宁德市医院的回答是不可以，必须自费再回厦门报销，跟他们提到新政策时，他们的回答是，新政策再过一年会实施就很不错了。那我们该怎么办，可以垫付再回厦门报销吗？",当事人3、6日以同样问题拨到市长专线，3、10日市长专线转办后已于3、10上午电话答复参保人。,,2014/3/24 0:00
关于失业金领取,2014/3/7 0:00,"在一家公司缴交厦门本市社保满10年的情况下，与公司协议解除劳动合同，现以下哪几种情况可以领取失业金？（如果办理第5条，协议解除可否领取到失业金，要提供什么方可办理领取失业金）10年领取失业金的按多少？厦门集美后溪在哪办理领取失业金等待回复，谢谢！终止（解除）劳动关系证明同志于年月日进入本单位工作，现与本单位终止（解除）劳动关系，原因如下：1、合同期满：期满时间年月日2、单位辞退：辞退时间年月日3、本人辞职：辞职时间年月日4、协议终止：终止时间年月日5、协议解除：解除时间年月日6、企业兼并、破产:时间年月日特此证明单位（盖章）年月日备注：1、以上终止或解除劳动关系原因仅选一项,多选、涂改无效。2、本人辞职的不能申请失业保险金待遇。3、协议终止是指经双方协商一致同意终止事实劳动关系4、协议解除是指由用人单位提出并经双方协商一致同意解除劳动合同5、企业兼并、破产的应附上相关部门的证明材料。6、本证明一式两份。",已于2014年3月19日电话联系到留言人，告知她相关政策。,,2014/3/27 0:00
印刷许可证到期换证,2014/3/7 0:00,请问：我的印刷许可证到期要换证了，要准备哪些材料？,已告知当事人相关办理事宜。,,2014/3/27 0:00
暂住证办理,2014/3/7 0:00,现在在厦门全市范围内办理暂住证是否要缴费？如果必须要缴费那么都有什么费用？谢谢！,不收费用。,,2014/3/19 0:00
核公司名称以“福建省”开头的可以在网上提交吗,2014/3/7 0:00,核福建省开头的公司字号，想在网上提交可以吗？方便给个网址,于2014年3月18日电话回复留言人。,,2014/3/19 0:00
新设立的分公司办理刻公章,2014/3/7 0:00,新设立的分公司如何办理刻公章？需要准备什么材料？要法人亲自办吗？若不需要法人亲自办理，那需要带上法人的身份证原件吗？流程如何办理，麻烦告知，谢谢！,材料：1、分公司的营业执照副本原件和复印件一份：2、分公司负责人本人持身份证原件和复印件一份:3、网址:www.xmyz.com.cn网上申请打印《厦门市公安局网络公章刻制申请表》一份。,,2014/3/19 0:00
关于年度报告,2014/3/7 0:00,你好，我想咨询下，就是我们总公司是在福州，厦门是分公司，非独立核算的账务，然后厦门这边要求商事主体做年度报告，但是我们厦门分公司的数据都汇总到福州总公司了，这样我们厦门这边还需要做年度报告吗？,我处于2014年3月18日接到此件，并于3月19日上午电话回复当事人，当事人表示满意。,,2014/3/19 0:00
股权转让,2014/3/7 0:00,我司为福建福满再生资源科技有限公司，现在要收购厦门市金属回收有限公司12%的股权，该股权属于工会所有，我司现在想问办理股权转让，除了该死股东签字的股权转让协议书还需要哪些手续,我处于2014年3月18日接到此件，并于当是下午电话回复当事人，当事人表示满意。,,2014/3/19 0:00
生育保险申请,2014/3/7 0:00,你好，请问下，申请生育保险报销要提供哪些资料呢？？如果夫妻间只有男士一人参保，可以申请吗,当事人询问在只有男方参保始末参保的情况下是否能领取生育险，3月19日回复告知为引种情况不能领取，与当事人沟通顺畅，当事人对回答较为满意。,,2014/3/27 0:00
夫妻投靠落户,2014/3/10 0:00,您好，我老公是厦门户口但是集体户口，那我可以投靠吗？,除了市人才集体户，都可以办理夫妻投靠。,,2014/3/19 0:00
安全生产许可证延期,2014/2/27 0:00,您好！我是一家劳务公司，安全生产许可证2014年3月24日到期，现要办延期，不知A\B\C证要几本，申请表上还要填特种人员信息，特种人员不知要几个？因为劳务公司以前没接触过，特此求助，望解答。谢谢,您好，根据您提出的问题，我判断，您咨询办理的劳务公司“安全生产许可证延期”业务不属于市安监局办理的范围。市安监局仅对非煤矿山和危险化学品行业的安全生产许可证进行办理。您所提到的ABC证也不属于安监局发证。有权限办理安全生产许可证的行业主管部门还有市建设局、市公安局等其他部门，建议您找对行业主管部门，并向他们咨询。,,2014/3/5 0:00
新生儿可以随祖父母落户海沧吗,2014/2/28 0:00,工作人员您好！我和妻子是泉州户口。我的父母房子买在海沧，父母的户口在海沧（房产证是我的名字），我们宝宝出生已经1岁了，还没落户（是第一胎，有出生证明）。不想把宝宝落户泉州，宝宝可否随祖父母落户厦门。谢谢！可否将回复发到我的邮箱，不知道怎么查看您的回复，真不好意思！谢谢！,不可以。,,2014/3/19 0:00
关于孙子投靠祖父母的落户问题,2014/2/28 0:00,您好！我和我妻子的户口都在泉州，儿子今年1岁，还没有落户。我父母在厦门海沧有房子，户口也在海沧，我儿子可否不落户泉州，等到儿子三岁入学海沧时，直接办理投靠祖父母落户厦门。（注：我们一家一直都住厦门十多年了，所以以后孩子也要在厦门上学。）谢谢！！,不可以。,,2014/3/19 0:00
非婚生子上户口,2014/2/28 0:00,你好，本人和未婚夫在老家办了订婚，未领结婚证，后因双方家里闹僵，分手。但是已经有了身孕，现在已把孩子生下，想独自抚养孩子，也办理了出生证明。现在要准备办孩子的户口，我户口在厦门岛内，不知道需要带什么资料。另外，是否需要交纳社会抚养费，如果要交，交多少，在哪里交。谢谢！,出生证上是否有填写父亲信息，如有请持双方户口簿、身份证、出生证、三人亲子鉴定到户口所在地派出所办理新生儿申报出生手续，属思明区的（大学派出所除外）在思明公安分局办理。如无填写父亲信息，请持母户口本、身份证、出生证、母子亲子鉴定到户口所在地派出所办理新生儿申报出生手续，属思明区的（大学的派出所除外）在思明公安分局办理。也可先持相关材料到派出所咨询，属思明区的（大学派出所除外）在思明公安分局咨询。缴交社会抚养费的问题请咨询社区及街道计生部门。,,2014/3/19 0:00
身份证补办,2014/3/1 0:00,我前几天不小心把身份证弄丢了，现在想补办。我的户籍不是福建这边的，但是我去年在原籍录完指纹那些。我就想咨询一下，我现在可以再厦门补办身份证吗？如果可以需要哪些证件？,不可以在厦门补办。,,2014/3/19 0:00
会计从业资格证调转及信息变更,2014/3/1 0:00,市财政局：您好。我是一名大学毕业生，已在厦门市思明区获得会计从业资格证，并已完成当年度继续教育，现想将会计从业资格证调回我的原籍地福州市，但在福州市还未找到企业接纳我的会计证，还不能开具相关工作证明，请问是否可以办理转出手续，将会计证调回原籍地，需携带哪些证明材料？同时，我想调转时更改原有会计证上登记的个人信息，例如学历，联系方式等，可否一并办理。烦请贵局予以答复，谢谢。,该业务不在中心办理，请当事人前往会计从业证所属芡中心办理业务。,,2014/4/28 0:00
展位费用补贴事项,2014/3/3 0:00,我今天去办理海外参展费用补贴，工作人员要我提供我司去参加参展人员的纳税证明，由于我司是集团公司（集团公司在香港），在厦门有子公司，当时集团公司就委派香港公司的人员去参加厦门公司申请的参展，所以该人员在厦门是没有纳税资料的。那我现在应该怎么办才能进行申请呢？我司有外商投资企业批准证书上面有体现我司在厦公司的名称及投资者名称为我司集团公司的名称。请问这样是否就可以证明集团公司跟厦门公司是有关联的公司呢？,3月17已与企业联系，告知相关政策，企业表示理解。,,2014/3/19 0:00
2014企业营业执照年检,2014/3/3 0:00,您好！想咨询下今年国家规定企业营业执照不用年检但是还有其他相关程序需要办理，但是国家的这个通知实在太新了，以至于网上都找不到相关的资料，在市政服务中心的网上也没有找到相关资讯，恳切的希望你们给予我们一些指南,我处于2014年3月14日接到此件，并于当日下午电话回复当事人，当事人表示满意。,,2014/3/19 0:00
报到证落户问题,2014/3/3 0:00,你好，我是2011年7月份毕业的本科毕业生，毕业后已经回生源地报道，没有在企业报道，现在备注那边是“待就业”，现在2年多过去了，我想办理落户厦门的话还可以吗？有没有年限限制的，如果可以的话要用到哪些资料？谢谢，急用，麻烦尽快给我回复哈！,该问题请咨询市公务员局。,,2014/3/19 0:00
车位出售，需带什么证件前往办理？,2014/3/4 0:00,你好，我父亲10年前已经去世了，母亲去年买车位，现要出售。办理时，前台说要提供结婚证，因为老年人他们当时的结婚证就是一张盖章的纸质证明，妈妈不慎丢了。难道提供户口本不行吗？上面就有公安局加盖的“死亡”“丧偶”公章啊。这是父亲去世10年后妈妈自购的车位，应该是可以直接出售呀，为何公安局的户口本已经证明死亡，但窗口却说只承认结婚证不要户口本啊？！！请麻烦回复下，谢谢！,由本人携带身份证、能证明配偶死亡时间的相关材料、结婚证不慎遗失的可心到派出所开具人口信息核对函来证明夫妻关系。,,2014/3/27 0:00
父亲的死亡证明不慎丢失，到哪里补办理？,2014/3/4 0:00,你好，我父亲于8年前死亡。去年我母亲买了个车位，现要卖出。但交易时房产权籍中心说要提供死亡证明？难道户口本上派出所盖的死亡章无效吗？父亲是灌口人，如果要补办，得到灌口派出所办理，还是母亲现户口所在地派出所（鹭江派出所）办理就行？因为还要跑一趟灌口太远了实在麻烦。麻烦指点下，谢谢！,到灌口派出所办理。,,2014/3/19 0:00
新建楼盘申请表的疑问,2014/3/4 0:00,请问下新建楼盘申请表，里面的合作单位，是指建筑的承包公司吗？？,没有合作单位不需要填写，自己单位盖公章。,,2014/3/27 0:00
投资落户,2014/3/4 0:00,您好，问一下，我公司12年跟13年营业税额都上了百万，听说公司只能办一次落户，是每年只能办一次，还是办过一次后就不能再办理了？,只能办理一次。,,2014/3/19 0:00
二手房过户卖方配偶（不在房产证上）需要提供的证件,2014/3/5 0:00,你好办理二手房过户，我是卖方，女，已婚，但是因房子是婚前所购，房产证上只有我一个人的名字。过户时我老公需要提供哪些证件？我老公是上海市的集体户口，挂靠在人才中心，他是否只要提供身份证、集体户口所在派出所开具的“户籍证明”以及他本人到场就可以？（因他不能取得集体户口中的个人页原件）盼回复！万分感谢！,婚前财产卖方配偶不需要到场，卖方配偶需提供身份证、结婚证、户口本原件，集体户户主页单位盖公章加上自己的个人页原件。具体详见厦门网上房地产下载办事指南及相关表格。,,2014/3/27 0:00
关于刻公章需法人到场才能领取,2014/2/25 0:00,你好，请问领取公章需法人到场吗？,领取公章不用法人本人到场，只需经办人带身份证和取章凭条就可领取。,,2014/3/11 0:00
关于竣工验收相关事宜,2014/2/25 0:00,您好！我想请问下，现在竣工验收时，四统表-单位子单位工程竣工验收表需要加上地勘吗？以前的表格是只有建设单位、施工单位、设计单位以及监理单位,现工程竣工验收表格，四统表需要加上地勘单位。,,2014/3/13 0:00
关于集体户口如何转成个体户口的问题？,2014/2/25 0:00,您好：我户口现在筼筜街道人才中心集体户口。请问如果我在岛内购买任意房产拥有房产证就可以转成个人户口了吗？如果不行，需要其它什么条件才可以呢？谢谢,如果本人拥有房产可以将户口迁移至自有住房。,,2014/3/10 0:00
外地人员可以补领失业金吗,2014/2/25 0:00,外地人员于2013年4月离职停保后至今交保满一年了，可以补领失业金吗？,已于2014年3月5日电话联系到留言人本人，告知她如何办理领取外来员工一次性生活补助金。,,2014/3/21 0:00
办理医社保缴交证明需要带什么材料？谢谢。,2014/2/26 0:00,办理医社保缴交证明需要带什么材料？谢谢。,已答复,,2014/3/21 0:00
个人完税证明办理,2014/2/26 0:00,请问可否在市政服务中心的地税局办公点办理个人完税证明？需要带什么资料？盼答复，谢谢。,您好！如需要税务机关开具一定期间个人所得税纳税证明的，须携带本人身份证原件，到厦门市任一地方税务局办税服务厅办理；当事人无法上门办理的，可以出具亲笔签名的委托书，交代理人代办。代理人应携带委托书原件、当事人身份证照复印件、代理人身份证照原件、复印件上门办理。开具个税完税证明属于同城通办“范围，可到就近区局办税厅（不含办税服务室）办理。市行政服务中心的二楼B厅自助区有自助办税机可供纳税人凭本人身份证原件自助打印个人完税证明。,,2014/3/11 0:00
注册废旧物资回收公司,2014/2/26 0:00,领导：您好！我想注册一家废旧物资回收公司，主要回收废旧钢材，铝合金，机电设备等，请问需要办理哪些证件？大概程序是怎样的。谢谢！,我处于3月4日接到此件，已于当日下午电话回复当事人，当事人表示满意。,,2014/3/11 0:00
申请拆除工程专业承包资质,2014/2/26 0:00,领导：你好！想咨询一下爆破与拆除工程资质，拆除工程专业承包资质两者的区别，如何申请拆除工程专业承包三级资质？需要提供哪些材料？网上查询不到拆除工程专业承包资质的相关资料。盼回复，谢谢！,我局办理，爆破与折除工程专业承包资质三级（限人工与机械拆除）。请按建筑业三级资质办理办事指南准备材料。资质标准查阅建设部令159号，《建筑业资质管理规定》，无需提供爆破相关人员证书。,,2014/3/13 0:00
母亲的个人独资公司所买的商住两用房产（SOHO）想转给一子一女共有,2014/2/26 0:00,如何办理，要交哪些税费？谢谢。,可以通过买卖或者赠与的方式办理，未成年子女只能通过赠与的方式办理。需携带的材料：赠与的带赠与合同公证书、产权证、当事人身份证件：买卖参考二手房买卖须知。（如有在银行做抵押，需到银行开具放行单）赠与未成年子女的，由监护人代办，当事人身份证、赠与公证书、未成年子女的户口本及能体现父子、母子关系的证明材料。具体详见厦门网上房地产下载办理指南及相关表格。税收问题咨询12#66.,,2014/3/21 0:00
未满一年是否可以更换公司名称,2014/2/26 0:00,您好！我于2013年7月26日注册成立一家公司，但公司名字，与一个商标相同，这个商标的持有人希望我公司要改名字。我也不想商标所以问一下，未满一年，公司名字能否变更？,我处于3月4日接到此件，已于当日下午电话回复当事人，当事人表示满意。,,2014/3/11 0:00
房产证减名,2014/2/26 0:00,我有一外商铺，产权证上是我和我儿子的名字（未成年，不到10周岁），现想要把我儿子的名字去掉，使产权证上只留我一个人的名字，是否可以。手续如何办理？,不能去除未成年人的名字，等到成年才能去除。,,2014/3/21 0:00
房屋租赁备案证明遗失补办,2014/2/27 0:00,2012年3月28日发放的编号：厦房租证字第（A2######79）号房屋租赁登记备案证明丢失如何补办，需要提供什么资料以及补办费用多少。谢谢,请拨打租赁科23###08咨询。,,2014/3/21 0:00
助工评定,2014/2/27 0:00,你好，我想请问下助工职称评定要求在公司受聘并医社保缴交满一年，请问是提供最靠近评定的一年还是可以提交缴交里的任何一个年度，比如我是2010年开始进入企业受聘并缴交的，我只要提供中间任意满一年的医社保证明这样可以吗？中间离职换了公司空了两个月没有缴交，像这种情况有影响吗？2.请问所评定的助工证是属于公有制的吗？3.我是2010年毕业的但是2013年2月才到相关人才报道，那工作年限要从什么时候算起？麻烦帮我解答下，谢谢。,助工为经发局办理。,,2014/3/6 0:00
公章印刻部分,2014/2/27 0:00,公章印刻部分联系电话？如何办理？,公章刻印部分联系电话：77###73，与公章刻印部分相关问可来电咨询。,,2014/3/11 0:00
人事报道问题,2014/2/19 0:00,我是属于厦门毕业生源，现在是国土局劳务派遣用工人员，从工作到现在10年，单位一直没给予办理报道手续，请问现在要办理应如何办理，在哪里办理，需要哪些手续？谢谢？,您好，由于被派遣的具体单位为国土资源局，涉及派遣公司的派遣资格（资质）和非在编用人的相关规定，建议由具体派遣的劳务派遣或人力资源派遣公司带上个人具体资料详细咨询。,,2014/3/6 0:00
办理落户咨询,2014/2/19 0:00,父母投靠成年子女落户，到市政服务中心申请领取准迁证这一环节，材料准备齐全的话，户主本人要是否一定要到场，可否由家人代办？,不需要本人到场，可由家人推带完备的材料前来办理即可。,,2014/3/13 0:00
户口,2014/2/20 0:00,我父母2012年在翔安买一套89平米房子，按规定有三个户口指标，我父母就我一独生女，我自己离异一小孩跟我，请问，能不能将我和我儿子的户口迁到这个房子里，需要哪些资料,您父母的房屋孙子不能办理购户入户。,,2014/3/13 0:00
助理工程师职称确认,2014/2/20 0:00,我是2010年大专毕业，专业是房地产经营管理与估价，现从事造价员工作。之前申请确认技术员职称的时候，说我的专业不符合要求（当时给的回复是我的这个专业没法确认）。那现在我是否可以确认助理工程师？？如果不行的话，我的职称如何评定？,找经发局咨询。,,2014/3/13 0:00
户口,2014/2/20 0:00,"你好，请问我之前户口是厦门的岛内集体户，之后迁回老家，再从老家签到翔安自己买的房子，现在想迁回岛内。可以通过原籍在岛内,后迁到岛外，现回迁入户这个政策吗？请尽快回复。谢谢。",根据《厦门市户籍管理规定实施细则》（厦府【2010】214号）第十八条：依照《规定》第二十六条第二规定，原常住户口属思明区、湖里区迁移至集美区、海沧区、同安区、翔安区的，在思明区、湖里区拥有合法固定住所的，可以将户口迁回思明区、湖里区。,,2014/3/13 0:00
公司章程补打,2014/2/20 0:00,请问公司章程找不到，可以重新补打？要到哪里补打？需要带什么资料去补打？,1、公司章程可以到我局补打。2、公司经办人带本公司的营业执照副本原件或公司开具的介绍信，以及经办人的身份证原件到市政务中心二楼C厅取号到12-13号窗口办理查询打印。,,2014/3/13 0:00
咨询审批,2014/2/21 0:00,您好，我想咨询一下。我的经营范围内想要有“录音制作”这一项，请问需要办理什么证件？办理证件需要什么手续或者材料？谢谢,我处3月4日接到此件，已于当日下午电话回复当事人，当事人表示满意。,,2014/3/11 0:00
